Thu Jun 25 16:16:49 CST 2026
MSB bit=28 LOGIC failures=0/100 correct_rate=1 elapsed_s=4.20889
Starting MSB bit=28 ARITHMETIC trials=100 threads=96
MSB bit=28 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=4.09088
Starting MSB bit=29 LOGIC trials=100 threads=96
MSB bit=29 LOGIC failures=0/100 correct_rate=1 elapsed_s=4.3999
Starting MSB bit=29 ARITHMETIC trials=100 threads=96
MSB bit=29 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=4.47388
Starting MSB bit=30 LOGIC trials=100 threads=96
MSB bit=30 LOGIC failures=0/100 correct_rate=1 elapsed_s=4.21588
Starting MSB bit=30 ARITHMETIC trials=100 threads=96
MSB bit=30 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=4.20589
Starting MSB bit=31 LOGIC trials=100 threads=96
MSB bit=31 LOGIC failures=0/100 correct_rate=1 elapsed_s=4.63489
Starting MSB bit=31 ARITHMETIC trials=100 threads=96
MSB bit=31 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=4.61985
Starting MSB bit=32 LOGIC trials=100 threads=96
MSB bit=32 LOGIC failures=0/100 correct_rate=1 elapsed_s=4.8219
Starting MSB bit=32 ARITHMETIC trials=100 threads=96
MSB bit=32 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=4.72387
Starting MSB bit=33 LOGIC trials=100 threads=96
MSB bit=33 LOGIC failures=0/100 correct_rate=1 elapsed_s=4.87088
Starting MSB bit=33 ARITHMETIC trials=100 threads=96
MSB bit=33 ARITHMETIC failures=0/100 correct_rate=1 elapsed_s=5.56401
wrote results/ethmsb_correctness_6_33_100.csv
zsh:1: read-only variable: status
