bit,he3db_ms,ethmsb_ms,speedup
8,35.5468,19.9577,1.78111
9,53.5494,53.368,1.0034
10,175.449,106.907,1.64114
11,177.908,136.193,1.30629
12,210.191,141.514,1.4853
13,240.592,159.296,1.51034
14,423.294,174.854,2.42084
15,340.865,217.572,1.56667
16,357.914,161.747,2.21281
